LSOA code (2011),la19nm,england_imd_rank,england_imd_decile,london_imd_rank,london_imd_decile,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) rank - England,Index of Multiple Deprivation (IMD) decile - England,Index of Multiple Deprivation (IMD) rank rebased for London,Index of Multiple Deprivation (IMD) decile rebased for London,Index of Multiple Deprivation (IMD) quintile rebased for London
E01000578,Brent,8553,3,1293,3,"8,254",5,8192,3,7792,3,8766,2,5116,2,606,2,12703,7,20625,5,20608,5,Brent 012D,E09000005,Brent,8553.0,3.0,1293.0,3.0,2.0
E01000579,Brent,8541,3,1291,3,"6,102",4,8661,4,8820,4,9665,3,9107,4,786,2,3328,1,16701,4,25090,7,Brent 032A,E09000005,Brent,8541.0,3.0,1291.0,3.0,2.0
E01000580,Brent,14258,5,2453,6,"8,964",5,11551,5,11881,5,14416,5,3830,2,3110,7,9459,5,27206,8,27707,8,Brent 032B,E09000005,Brent,14258.0,5.0,2453.0,6.0,3.0
E01000581,Brent,18404,6,3153,7,"10,036",6,16169,7,15501,6,21339,7,9793,4,2811,6,6270,3,30425,9,29206,9,Brent 030E,E09000005,Brent,18404.0,6.0,3153.0,7.0,4.0
E01000582,Brent,19625,6,3341,7,"14,769",7,20646,8,18418,7,24475,8,10315,5,3185,7,4847,2,28018,8,28553,8,Brent 032C,E09000005,Brent,19625.0,6.0,3341.0,7.0,4.0
E01000583,Brent,13321,5,2295,5,"7,864",5,19304,8,15559,7,14049,5,7418,3,1512,4,3813,2,24949,7,29255,9,Brent 032D,E09000005,Brent,13321.0,5.0,2295.0,5.0,3.0
E01000584,Brent,19420,6,3306,7,"13,215",7,19554,8,17244,7,18509,6,18066,8,3079,7,8774,5,24830,7,25615,7,Brent 033E,E09000005,Brent,19420.0,6.0,3306.0,7.0,4.0
E01000585,Brent,19713,7,3361,7,"8,757",5,17195,7,16329,7,22605,8,16219,7,2299,5,11478,7,23134,6,27682,8,Brent 033F,E09000005,Brent,19713.0,7.0,3361.0,7.0,4.0
E01000586,Brent,13162,5,2271,5,"5,264",4,14275,6,13153,6,14488,5,10955,5,956,2,7285,4,26038,7,23127,6,Brent 032E,E09000005,Brent,13162.0,5.0,2271.0,5.0,3.0
E01000587,Brent,18908,6,3222,7,"7,145",5,22577,8,15220,6,24060,8,19781,8,1908,4,14202,8,26220,8,16665,4,Brent 001A,E09000005,Brent,18908.0,6.0,3222.0,7.0,4.0
