FID,LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape__Area,Shape__Length
2548,E01002677,Hounslow 015E,Hounslow,11.9554569896,12.2600769072,6.55005774529,16.1724141007,3,4210.28053914,232819.916099548,4210.28053913958
2549,E01002678,Hounslow 009B,Hounslow,1.03989625927,0,0,9.40526371437,1a,10330.1141785,3694086.54219055,10330.1141785287
2550,E01002679,Hounslow 009C,Hounslow,6.3089629335,6.22072911694,2.06175102557,11.2407243583,2,5440.58962001,462962.820030212,5440.58962001309
2551,E01002680,Hounslow 009D,Hounslow,9.4317623977,9.87502818508,3.1911529347,15.6567984285,2,4631.58053034,408877.293006897,4631.580530339
2552,E01002681,Hounslow 014C,Hounslow,10.9073778537,11.1908581931,6.04412822693,15.9597913438,3,2818.41935823,310504.659507751,2818.41935823308
2553,E01002682,Hounslow 014D,Hounslow,12.455990966,12.5157261038,6.88781922239,16.0962175223,3,3840.18802831,433415.49798584,3840.18802830938
2554,E01002686,Hounslow 006E,Richmond upon Thames,4.48530429368,0,0,15.4569063563,1b,6477.06503018,1066192.46038055,6477.06503018053
2555,E01002687,Hounslow 029A,Hounslow,15.9642258212,16.4644647306,7.27114286291,19.2825597142,4,3113.15930658,176777.13318634,3113.15930657759
2556,E01002689,Hounslow 007E,Hounslow,9.55050884377,12.126696301,2.85424296626,14.8817011901,2,1791.99851756,139380.031463623,1791.99851756341
2557,E01002690,Hounslow 007F,Hounslow,9.24098694012,7.76283885216,3.66506258749,18.2620857266,2,2184.77903078,179891.599708557,2184.77903078154
2558,E01002691,Hounslow 029B,Hounslow,14.8650598007,15.4476766428,5.40994862541,21.6503929879,3,4274.88905771,508212.206741333,4274.88905771487
2559,E01002692,Hounslow 029C,Hounslow,16.1952827446,16.4914661808,0,23.4383404014,4,4484.88957175,327361.065711975,4484.8895717516
2560,E01002693,Hounslow 029D,Hounslow,17.8509055505,18.7161931234,14.2482001703,20.5259504769,4,3210.70287681,205274.719146729,3210.70287680732
